"id","tag_number","before_weight","after_weight","difference","adjustment","final_weight","product_number","created_at","updated_at","product_type","barcode_weight","lot_id"
"21","D55","13.78","14.36","0.58","0.58","0.52","D550052__0.99","2024-11-27 06:41:51.036","2024-11-27 06:41:51.034","active","","2"
"22","D55","8.26","8.44","0.18","0.18","0.16","D550016__0.27","2024-11-27 06:42:07.420","2024-11-27 06:42:07.419","active","","2"
"23","D55","10.05","10.36","0.31","0.31","0.28","D550028__0.03","2024-11-27 06:42:20.132","2024-11-27 06:42:20.130","active","","2"
"24","D55","7.12","7.32","0.2","0.2","0.18","D550018__0.36","2024-11-27 06:42:31.596","2024-11-27 06:42:31.594","active","","2"
"25","D55","9.83","10.29","0.46","0.46","0.41","D550041__0.11","2024-11-27 06:42:44.188","2024-11-27 06:42:44.186","active","","2"
"26","D55","8.57","8.78","0.21","0.21","0.19","D550019__0.93","2024-11-27 06:43:06.228","2024-11-27 06:43:06.226","active","","2"
"27","D55","20.51","21.37","0.86","0.86","0.77","D550077__0.12","2024-11-27 06:43:18.404","2024-11-27 06:43:18.403","active","","2"
"28","D55","7.3","7.53","0.23","0.23","0.21","D550021__0.26","2024-11-27 06:43:30.268","2024-11-27 06:46:17.565","active","","2"
"29","D55","6.83","7.01","0.18","0.18","0.16","D550016__0.51","2024-11-27 06:43:43.556","2024-11-27 06:43:43.554","active","","2"
"30","D55","7.16","7.38","0.22","0.22","0.2","D550020__0.07","2024-11-27 06:43:53.876","2024-11-27 06:43:53.874","active","","2"
"31","D55","20.29","21.02","0.73","0.73","0.66","D550066__0.48","2024-11-27 06:44:06.476","2024-11-27 06:44:06.474","active","","2"
"32","D55","20.55","21.28","0.73","0.73","0.66","D550066__0.97","2024-11-27 06:45:02.636","2024-11-27 06:45:02.635","active","","2"
"33","D55","20.2","21.03","0.83","0.83","0.75","D550075__0.10","2024-11-27 06:45:18.716","2024-11-27 06:45:18.715","active","","2"
"34","D55","18.02","18.59","0.57","0.57","0.51","D550051__0.37","2024-11-27 06:45:30.492","2024-11-27 06:45:30.491","active","","2"
"47","D55","10.71","11.23","0.52","0.52","0.47","D550047__0.82","2024-11-27 06:52:58.756","2024-11-27 06:52:58.754","active","","2"
"49","M70","36.33","37.6","1.27","1.27","1.14","M700114__271.30491156214174","2024-11-30 08:16:02.271","2024-11-30 13:38:12.358","active","36.200","4"
"50","M70","35.74","37.17","1.43","1.43","1.29","M700129__910.8996293655338","2024-11-30 08:16:23.501","2024-11-30 13:39:03.958","active","36.810","4"
"51","M70","35.81","36.93","1.12","1.12","1.01","M700101__107.13526195089939","2024-11-30 08:16:40.316","2024-11-30 13:39:54.372","active","36.470","4"
"52","M70","43.14","44.19","1.05","1.05","0.95","M700095__666.1863740715228","2024-11-30 08:16:54.052","2024-11-30 13:40:32.572","active","44.120","4"
"53","M70","35.2","36.4","1.2","1.2","1.08","M700108__727.5978381031014","2024-11-30 08:17:18.668","2024-11-30 13:41:01.324","active","35.820","4"
"54","M70","42.72","43.83","1.11","1.11","1","M700100__371.6458454378855","2024-11-30 08:17:35.292","2024-11-30 13:41:48.100","active","43.960","4"
"57","M71","22.28","23","0.72","0.699","0.63","M710063__0.05","2024-12-02 14:07:33.839","2024-12-02 14:07:33.838","active","","5"
"58","M71","20.71","21.5","0.79","0.769","0.69","M710069__0.27","2024-12-02 14:07:52.823","2024-12-02 14:07:52.822","active","","5"
"59","M71","24.53","25.26","0.73","0.709","0.64","M710064__0.98","2024-12-02 14:08:16.199","2024-12-02 14:08:16.198","active","","5"
"60","M71","20.64","21.45","0.81","0.789","0.71","M710071__0.22","2024-12-02 14:08:42.487","2024-12-02 14:08:42.485","active","","5"
"61","M71","12.98","13.6","0.62","0.599","0.54","M710054__0.40","2024-12-02 14:09:44.983","2024-12-02 14:09:44.981","active","","5"
"62","M71","21.47","22.26","0.79","0.769","0.69","M710069__0.97","2024-12-02 14:10:22.919","2024-12-02 14:10:22.918","active","","5"
"63","M71","24.14","24.93","0.79","0.769","0.69","M710069__0.22","2024-12-02 14:11:03.072","2024-12-02 14:11:03.070","active","","5"
"64","M72","27.3","28.19","0.89","0.89","0.8","M720080__0.56","2024-12-02 14:41:58.288","2024-12-02 14:41:58.285","active","","6"
"72","M73","8.68","8.96","0.28","0.28","0.25","M730025__433.67031051420014","2024-12-05 05:21:20.406","2024-12-05 11:46:34.333","active","8.810","8"
"73","M73","4.06","4.19","0.13","0.13","0.12","M730012__690.9190304089732","2024-12-05 05:21:32.774","2024-12-05 11:46:48.946","active","4.100","8"
"74","M73","30.31","31.47","1.16","1.16","1.04","M730104__682.973437568098","2024-12-05 05:21:47.702","2024-12-05 11:47:10.898","active","43.750","8"
"75","M73","42.92","44.39","1.47","1.47","1.32","M730132__393.147030726126","2024-12-05 05:22:01.614","2024-12-07 07:50:24.540","active","43.600","8"
"76","M73","8.68","8.99","0.31","0.31","0.28","M730028__582.3874352992042","2024-12-05 05:22:16.542","2024-12-05 11:47:36.980","active","8.800","8"
"77","M73","4.43","4.54","0.11","0.11","0.1","M730010__378.2664724173539","2024-12-05 05:22:42.509","2024-12-05 11:47:48.434","active","4.440","8"
"78","M73","29.91","31.25","1.34","1.34","1.21","M730121__967.4459061905732","2024-12-05 05:23:00.742","2024-12-07 07:49:21.185","active","30.190","8"
"79","M73","43.73","45.11","1.38","1.38","1.24","M730124__151.33739348759835","2024-12-05 05:23:26.030","2024-12-05 11:48:12.476","active","30.390","8"
"80","M74","21.36","22","0.64","0.64","0.58","M740058__388.9556923463513","2024-12-05 05:27:31.405","2024-12-05 11:17:46.788","active","21.400","9"
"81","M74","24.32","25.11","0.79","0.79","0.71","M740071__640.078159229166","2024-12-05 05:34:30.357","2024-12-05 11:18:08.444","active","24.870","9"
"82","M74","36.49","37.68","1.19","1.19","1.07","M740107__202.18407527958803","2024-12-05 05:34:45.613","2024-12-05 11:18:24.299","active","36.390","9"
"83","M74","24.33","25.32","0.99","0.99","0.89","M740089__865.5752304628304","2024-12-05 05:35:09.509","2024-12-05 11:18:44.340","active","25.500","9"
"84","M74","21.43","22.05","0.62","0.62","0.56","M740056__12.413135485912496","2024-12-05 05:36:18.798","2024-12-05 11:18:56.915","active","21.400","9"
"85","M74","35.7","36.91","1.21","1.21","1.09","M740109__959.5809183604181","2024-12-05 05:36:40.845","2024-12-05 11:19:09.243","active","35.820","9"
"86","M74","20.85","21.52","0.67","0.67","0.6","M740060__419.78318895425406","2024-12-05 05:36:57.077","2024-12-05 11:19:21.195","active","21.450","9"
"87","M74","21.13","21.94","0.81","0.81","0.73","M740073__218.7509121462292","2024-12-05 05:37:14.238","2024-12-05 11:19:33.340","active","22.000","9"
"88","M75","13.88","14.3","0.42","0.42","0.38","M750038__0.85","2024-12-06 14:26:43.377","2024-12-06 14:26:43.374","active","","10"
"89","M75","14.44","14.84","0.4","0.4","0.36","M750036__0.77","2024-12-06 14:27:18.447","2024-12-06 14:27:18.445","active","","10"
"90","M75","8.53","8.68","0.15","0.15","0.14","M750014__0.88","2024-12-06 14:27:39.766","2024-12-06 14:27:39.764","active","","10"
"91","M75","14.4","14.82","0.42","0.42","0.38","M750038__0.78","2024-12-06 14:28:01.910","2024-12-06 14:28:01.908","active","","10"
"92","M75","10.41","10.62","0.21","0.21","0.19","M750019__0.97","2024-12-06 14:28:26.094","2024-12-06 14:28:26.093","active","","10"
"93","M75","21.13","21.64","0.51","0.51","0.46","M750046__0.46","2024-12-06 14:28:46.966","2024-12-06 14:28:46.964","active","","10"
"94","M75","10.47","10.63","0.16","0.16","0.14","M750014__0.06","2024-12-06 14:29:17.478","2024-12-06 14:29:17.476","active","","10"
"95","M75","10.4","10.62","0.22","0.22","0.2","M750020__0.69","2024-12-06 14:29:41.462","2024-12-06 14:29:41.460","active","","10"
"96","M75","8.49","8.7","0.21","0.21","0.19","M750019__319.27835635559455","2024-12-06 14:30:05.933","2024-12-06 16:09:48.407","active","8.500","10"
"97","M75","17.2","17.63","0.43","0.43","0.39","M750039__0.90","2024-12-06 14:30:38.933","2024-12-06 14:30:38.932","active","","10"
"98","M75","17.52","17.85","0.33","0.33","0.3","M750030__0.60","2024-12-06 14:31:00.613","2024-12-06 14:31:00.612","active","","10"
"99","M75","10.5","10.68","0.18","0.18","0.16","M750016__0.26","2024-12-06 14:31:20.134","2024-12-06 14:31:20.132","active","","10"
"100","M75","13.85","14.3","0.45","0.45","0.41","M750041__0.94","2024-12-06 14:31:58.349","2024-12-06 14:31:58.347","active","","10"
"101","M75","14.09","14.41","0.32","0.32","0.29","M750029__0.29","2024-12-06 14:32:22.325","2024-12-06 14:32:22.323","active","","10"
"102","M75","10.46","10.63","0.17","0.17","0.15","M750015__0.25","2024-12-06 14:32:46.557","2024-12-06 14:32:46.556","active","","10"
"103","M75","21.63","22.19","0.56","0.56","0.5","M750050__0.88","2024-12-06 14:33:12.189","2024-12-06 14:33:12.187","active","","10"
"104","M75","10.44","10.63","0.19","0.19","0.17","M750017__0.07","2024-12-06 14:33:33.861","2024-12-06 14:33:33.859","active","","10"
"105","M77","31.68","32.41","0.73","0.723","0.65","M770065__725.5558536460545","2024-12-06 15:04:14.006","2024-12-09 15:31:39.556","active","32.380","11"
"106","M77","35.11","36.12","1.01","1.003","0.9","M770090__855.5547687381553","2024-12-06 15:04:33.972","2024-12-09 15:20:04.533","active","36.280","11"
"107","M77","35.58","36.95","1.37","1.363","1.23","M770123__96.60048066055494","2024-12-06 15:04:55.987","2024-12-09 15:28:12.427","active","36.170","11"
"114","M78","28.09","29.01","0.92","0.916","0.82","M780082__0.49","2024-12-06 15:36:41.393","2024-12-06 15:36:41.391","active","","12"
"115","M78","44","45.25","1.25","1.246","1.12","M780112__0.42","2024-12-06 15:37:26.530","2024-12-06 15:37:26.528","active","","12"
"116","M78","43.23","44.48","1.25","1.246","1.12","M780112__0.72","2024-12-06 15:37:50.160","2024-12-06 15:37:50.159","active","","12"
"117","M78","44.51","45.75","1.24","1.236","1.11","M780111__0.91","2024-12-06 15:38:25.433","2024-12-06 15:38:25.431","active","","12"
"118","M78","28.49","29.48","0.99","0.986","0.89","M780089__0.14","2024-12-06 15:39:02.664","2024-12-06 15:39:02.663","active","","12"
"119","M76","19.98","20.98","1","0.99","0.89","M760089__0.63","2024-12-07 14:00:48.262","2024-12-07 14:00:48.260","active","","13"
"120","M76","49.99","51.72","1.73","1.72","1.55","M760155__0.72","2024-12-07 14:01:17.349","2024-12-07 14:01:17.347","active","","13"
"121","M76","34.57","36.02","1.45","1.44","1.3","M760130__0.07","2024-12-07 14:01:48.301","2024-12-07 14:01:48.300","active","","13"
"122","M76","20.06","21","0.94","0.93","0.84","M760084__0.25","2024-12-07 14:02:10.270","2024-12-07 14:02:10.269","active","","13"
"123","M76","34.42","35.81","1.39","1.38","1.24","M760124__0.56","2024-12-07 14:02:34.717","2024-12-07 14:02:34.716","active","","13"
"124","M76","27.03","28.23","1.2","1.19","1.07","M760107__0.97","2024-12-07 14:03:29.069","2024-12-07 14:03:29.067","active","","13"
"125","M76","22.9","23.81","0.91","0.9","0.81","M760081__0.70","2024-12-07 14:03:51.533","2024-12-07 14:03:51.531","active","","13"
"126","M76","20.18","21.12","0.94","0.93","0.84","M760084__0.40","2024-12-07 14:04:15.085","2024-12-07 14:04:15.083","active","","13"
"127","M76","26.78","27.86","1.08","1.07","0.96","M760096__0.58","2024-12-07 14:04:43.981","2024-12-07 14:04:43.980","active","","13"
"128","M76","26.91","27.98","1.07","1.06","0.95","M760095__0.35","2024-12-07 14:05:09.333","2024-12-07 14:05:09.332","active","","13"
"129","M76","42.4","44.01","1.61","1.6","1.44","M760144__0.27","2024-12-07 14:05:58.413","2024-12-07 14:05:58.411","active","","13"
"130","M76","34.44","35.96","1.52","1.51","1.36","M760136__0.48","2024-12-07 14:06:38.437","2024-12-07 14:06:38.436","active","","13"
"131","M79","29.56","30.45","0.89","0.888","0.8","M790080__559.0658485686424","2024-12-07 14:29:20.108","2024-12-09 15:11:31.431","active","30.440","14"
"132","M79","29.08","30.17","1.09","1.088","0.98","M790098__463.41231602972255","2024-12-07 14:29:42.908","2024-12-09 15:05:30.750","active","30.170","14"
"133","M79","35.04","36.5","1.46","1.458","1.31","M790131__161.71369741401253","2024-12-07 14:30:10.541","2024-12-09 15:14:53.749","active","36.400","14"
"134","M79","34.83","36.13","1.3","1.298","1.17","M790117__381.6977477659078","2024-12-07 14:30:38.171","2024-12-09 15:15:52.244","active","35.970","14"
"138","M80","21.88","23.34","1.46","1.46","1.31","M800131__48.44106019828365","2024-12-07 14:56:28.721","2024-12-09 14:50:47.386","active","24.290","15"
"139","M80","16.06","17","0.94","0.94","0.85","M800085__873.0315980283212","2024-12-07 14:56:54.286","2024-12-09 14:45:05.450","active","17.900","15"
"140","M80","20.46","21.26","0.8","0.8","0.72","M800072__774.5408081397262","2024-12-07 14:57:18.922","2024-12-09 14:54:37.993","active","21.390","15"
"141","M80","27.78","28.81","1.03","1.03","0.93","M800093__945.7817231431444","2024-12-07 14:57:46.890","2024-12-09 14:53:41.215","active","28.870","15"
"142","M81","13.5","14.08","0.58","0.573","0.52","M810052__813.816187839937","2024-12-11 12:05:17.339","2024-12-11 13:18:05.198","active","15.370","16"
"144","M81","13.87","14.44","0.57","0.563","0.51","M810051__423.8043469023261","2024-12-11 12:05:57.831","2024-12-11 13:20:18.167","active","14.420","16"
"145","M81","10.46","10.66","0.2","0.193","0.17","M810017__393.36886817410766","2024-12-11 12:06:12.991","2024-12-11 13:20:57.517","active","10.380","16"
"146","M81","10.49","10.67","0.18","0.173","0.16","M810016__640.9123748880055","2024-12-11 12:06:25.087","2024-12-11 13:21:37.869","active","10.450","16"
"147","M81","10.55","10.71","0.16","0.153","0.14","M810014__206.12794957081883","2024-12-11 12:06:39.991","2024-12-11 13:18:38.557","active","10.530","16"
"148","M81","10.64","10.88","0.24","0.233","0.21","M810021__422.7641613153201","2024-12-11 12:06:54.543","2024-12-11 13:23:15.791","active","10.560","16"
"149","M81","10.67","10.87","0.2","0.193","0.17","M810017__699.5492896049614","2024-12-11 12:07:12.903","2024-12-11 13:24:00.016","active","10.520","16"
"150","M81","13.66","14.17","0.51","0.503","0.45","M810045__250.45080445494716","2024-12-11 12:07:31.295","2024-12-11 13:24:38.419","active","14.260","16"
"151","M81","13.71","14.32","0.61","0.603","0.54","M810054__788.191226687085","2024-12-11 12:07:47.823","2024-12-11 13:25:17.661","active","14.400","16"
"152","M81","13.75","14.28","0.53","0.523","0.47","M810047__348.46339418399583","2024-12-11 12:08:08.014","2024-12-11 13:25:56.269","active","14.310","16"
"153","M81","13.78","14.25","0.47","0.463","0.42","M810042__763.0582245283441","2024-12-11 12:09:00.559","2024-12-11 13:26:49.998","active","14.300","16"
"154","M81","13.88","14.4","0.52","0.513","0.46","M810046__472.9590282963141","2024-12-11 12:09:18.431","2024-12-11 13:27:50.846","active","14.480","16"
"155","M81","13.89","14.51","0.62","0.613","0.55","M810055__53.01968627368869","2024-12-11 12:09:37.071","2024-12-11 13:11:51.260","active","14.570","16"
"156","M81","13.91","14.55","0.64","0.633","0.57","M810057__248.09807808032724","2024-12-11 12:09:59.510","2024-12-11 13:29:54.549","active","14.540","16"
"157","M81","13.97","14.61","0.64","0.633","0.57","M810057__229.4088050614551","2024-12-11 12:10:14.992","2024-12-11 13:13:43.035","active","14.650","16"
"158","M81","13.31","13.84","0.53","0.523","0.47","M810047__787.3061889054453","2024-12-11 12:10:48.191","2024-12-11 13:14:37.829","active","15.020","16"
"159","M81","14.01","14.51","0.5","0.493","0.44","M810044__158.2984755226202","2024-12-11 12:11:08.199","2024-12-11 13:15:29.764","active","14.470","16"
"160","M81","10.46","10.7","0.24","0.233","0.21","M810021__298.4115692926934","2024-12-11 12:11:34.655","2024-12-11 13:16:35.058","active","10.35","16"
"161","M81","10.55","10.77","0.22","0.213","0.19","M810019__106.60336721637198","2024-12-11 12:27:19.643","2024-12-11 13:22:26.812","active","10.430","16"
"162","M81","10.44","10.68","0.24","0.233","0.21","M810021__459.1598994734536","2024-12-11 12:48:40.249","2024-12-11 13:17:25.621","active","10.440","16"
"163","M82","10.41","10.79","0.38","0.38","0.34","M820034__442.69385541334725","2024-12-11 14:56:30.394","2024-12-12 07:34:27.362","active","10.910","17"
"164","M82","10.57","10.93","0.36","0.36","0.32","M820032__333.7267930965855","2024-12-11 14:56:59.405","2024-12-12 07:36:05.034","active","11.070","17"
"165","M82","10.83","11.13","0.3","0.3","0.27","M820027__728.1415007820806","2024-12-11 14:57:52.317","2024-12-12 07:36:56.283","active","10.880","17"
"166","M82","10.52","10.83","0.31","0.31","0.28","M820028__366.9124042211234","2024-12-11 14:58:28.269","2024-12-12 07:22:17.450","active","10.550","17"
"167","M82","10.38","10.68","0.3","0.3","0.27","M820027__41.53968045979983","2024-12-11 14:59:03.238","2024-12-12 07:21:26.701","active","10.810","17"
"168","M82","9.75","10.09","0.34","0.34","0.31","M820031__106.083071048102","2024-12-11 14:59:28.607","2024-12-12 07:33:37.347","active","10.270","17"
"169","M83","20.8","21.46","0.66","0.66","0.59","M830059__0.32","2024-12-12 05:59:51.259","2024-12-13 14:12:46.554","active","21.550","19"
"170","M83","21.6","22.43","0.83","0.83","0.75","M830075__82.99500917268165","2024-12-12 06:00:11.473","2024-12-13 14:35:22.345","active","21.77","19"
"171","M83","21.19","22.12","0.93","0.93","0.84","M830084__609.0279003772458","2024-12-12 06:00:26.346","2024-12-13 14:37:31.489","active","21.540","19"
"172","M83","20.91","22.03","1.12","1.12","1.01","M830101__304.57756071499875","2024-12-12 06:00:41.114","2024-12-13 14:39:54.273","active","22.110","19"
"173","M83","21.41","22.1","0.69","0.69","0.62","M830062__412.9366575067994","2024-12-12 06:00:59.354","2024-12-13 14:41:43.392","active","21.970","19"
"174","M83","20.93","21.8","0.87","0.87","0.78","M830078__738.9094351815824","2024-12-12 06:01:14.305","2024-12-13 14:43:57.712","active","21.360","19"
"175","M83","20.75","21.42","0.67","0.67","0.6","M830060__516.4457935220279","2024-12-12 06:01:30.794","2024-12-13 14:45:59.777","active","20.800","19"
"176","M83","20.51","21.42","0.91","0.91","0.82","M830082__176.50521742245263","2024-12-12 06:01:59.826","2024-12-13 14:48:03.817","active","21.380","19"
"177","M83","21.17","22.14","0.97","0.97","0.87","M830087__631.7435543225976","2024-12-12 06:02:19.561","2024-12-13 14:50:25.547","active","21.470","19"
"178","M83","20.66","21.69","1.03","1.03","0.93","M830093__0.87","2024-12-12 06:02:42.282","2024-12-13 14:09:56.076","active","21.690","19"
"179","M84","13.09","13.35","0.26","0.255","0.23","M840023__0.87","2024-12-12 07:41:01.705","2024-12-12 07:41:01.702","active","","20"
"180","M84","42.22","43.75","1.53","1.525","1.37","M840137__0.03","2024-12-12 07:41:16.677","2024-12-12 07:41:16.675","active","","20"
"181","M85","6.71","6.94","0.23","0.227","0.2","M850020__924.8756142653409","2024-12-13 15:26:09.405","2024-12-14 15:07:27.429","active","6.800","21"
"182","M85","6.89","7.14","0.25","0.247","0.22","M850022__606.4119832156167","2024-12-13 15:26:34.418","2024-12-14 15:09:25.614","active","6.990","21"
"183","M85","7.12","7.37","0.25","0.247","0.22","M850022__536.1130231903885","2024-12-13 15:26:55.434","2024-12-14 15:10:58.874","active","7.170","21"
"184","M85","7.04","7.29","0.25","0.247","0.22","M850022__512.7964696253795","2024-12-13 15:27:16.297","2024-12-14 15:12:32.486","active","7.130","21"
"185","M85","6.85","7.08","0.23","0.227","0.2","M850020__585.5410842306339","2024-12-13 15:27:38.227","2024-12-14 15:14:19.947","active","6.920","21"
"186","M85","6.81","7.04","0.23","0.227","0.2","M850020__46.038402902036864","2024-12-13 15:28:05.474","2024-12-14 15:15:41.675","active","6.850","21"
"187","M85","6.92","7.13","0.21","0.207","0.19","M850019__591.0199924300059","2024-12-13 15:28:26.570","2024-12-14 15:18:55.787","active","6.990","21"
"188","M85","6.78","7.02","0.24","0.237","0.21","M850021__697.849515691234","2024-12-13 15:29:23.906","2024-12-14 14:17:10.986","active","6.860","21"
"189","M85","6.92","7.12","0.2","0.197","0.18","M850018__288.33496060243544","2024-12-13 15:29:44.305","2024-12-14 14:27:46.229","active","6.960","21"
"190","M85","6.95","7.17","0.22","0.217","0.2","M850020__963.1388252131239","2024-12-13 15:30:22.929","2024-12-14 14:43:43.497","active","7.010","21"
"191","M85","7.06","7.22","0.16","0.157","0.14","M850014__961.104307925133","2024-12-13 15:30:58.402","2024-12-14 14:46:27.157","active","7.050","21"
"192","M85","6.9","7.12","0.22","0.217","0.2","M850020__938.2668662163602","2024-12-13 15:31:26.562","2024-12-14 14:58:06.628","active","6.970","21"
"193","M85","6.95","7.23","0.28","0.277","0.25","M850025__692.1348232264337","2024-12-13 15:32:19.648","2024-12-14 15:00:46.466","active","7.080","21"
"194","M85","7.02","7.25","0.23","0.227","0.2","M850020__34.24230676640661","2024-12-13 15:32:52.257","2024-12-14 15:02:36.325","active","7.130","21"
"195","M85","7.19","7.4","0.21","0.207","0.19","M850019__117.44971944942684","2024-12-13 15:33:23.593","2024-12-14 15:05:14.834","active","7.240","21"
"196","V","37.37","37.37","","","","VJR__671.4284959097394","2024-12-16 14:32:17.615","2024-12-16 14:33:11.082","active","37.370","23"
"197","V","","","","","","MS__208.51519012008703","2024-12-16 14:35:42.284","2024-12-16 14:36:23.728","active","21.870","23"
"198","V","","","","","","MS__46.546010447790835","2024-12-16 14:37:16.116","2024-12-16 14:37:26.684","active","37.830","23"
"199","M86","8.57","8.73","0.16","0.16","0.14","M860014__494.61919281026724","2024-12-16 15:06:25.805","2024-12-17 05:54:43.619","active","8.500","24"
"200","M86","8.64","8.81","0.17","0.17","0.15","M860015__363.7681846540528","2024-12-16 15:06:49.669","2024-12-17 05:55:22.245","active","8.610","24"
"201","M86","8.58","8.73","0.15","0.15","0.14","M860014__717.5360416019074","2024-12-16 15:07:30.452","2024-12-17 05:56:05.475","active","8.520","24"
"202","M86","8.59","8.76","0.17","0.17","0.15","M860015__125.8729447560587","2024-12-16 15:07:47.565","2024-12-17 05:56:44.427","active","8.520","24"
"203","M86","8.59","8.74","0.15","0.15","0.14","M860014__336.33002711706393","2024-12-16 15:08:16.124","2024-12-17 05:57:25.763","active","8.520","24"
"204","M86","8.5","8.7","0.2","0.2","0.18","M860018__307.4553750300497","2024-12-16 15:08:35.189","2024-12-17 05:58:25.539","active","8.500","24"
"205","M86","8.54","8.67","0.13","0.13","0.12","M860012__549.1458234171182","2024-12-16 15:08:53.028","2024-12-17 05:59:28.533","active","8.450","24"
"206","M86","8.6","8.79","0.19","0.19","0.17","M860017__417.5554015710048","2024-12-16 15:09:13.596","2024-12-17 05:45:59.012","active","8.540","24"
"207","M86","8.6","8.78","0.18","0.18","0.16","M860016__50.20054729623702","2024-12-16 15:09:43.444","2024-12-17 05:47:30.822","active","8.550","24"
"208","M86","8.58","8.74","0.16","0.16","0.14","M860014__844.8416881631156","2024-12-16 15:10:19.421","2024-12-17 05:51:41.445","active","8.490","24"
"209","M86","8.58","8.78","0.2","0.2","0.18","M860018__781.2182993584165","2024-12-16 15:10:40.700","2024-12-17 05:52:41.579","active","8.590","24"
"211","M86","8.53","8.7","0.17","0.17","0.15","M860015__428.3278519806992","2024-12-16 15:11:59.533","2024-12-17 05:53:18.738","active","8.440","24"
"212","M86","8.51","8.74","0.23","0.23","0.21","M860021__592.6177790071388","2024-12-16 15:12:46.429","2024-12-17 05:54:02.267","active","8.510","24"
"213","M87","10.39","10.96","0.57","0.57","0.51","M870051__30.714971977430004","2024-12-16 15:15:54.342","2024-12-16 15:50:40.583","active","10.700","25"
"214","M87","10.39","10.96","0.57","0.57","0.51","M870051__286.31136911489995","2024-12-16 15:16:31.573","2024-12-16 15:50:51.892","active","10.720","25"
"215","D57","13.53","14.12","0.59","0.585","0.53","D570053__233.0831995006324","2024-12-17 05:19:19.925","2024-12-17 06:45:27.413","active","14.130","26"
"216","D57","13.56","14.27","0.71","0.705","0.63","D570063__997.1822791255513","2024-12-17 05:20:15.756","2024-12-17 06:46:10.534","active","14.240","26"
"217","D57","13.32","13.84","0.52","0.515","0.46","D570046__864.7233367426079","2024-12-17 05:20:28.612","2024-12-17 06:47:00.761","active","13.940","26"
"218","D57","13.92","14.65","0.73","0.725","0.65","D570065__460.02499380477843","2024-12-17 05:20:43.404","2024-12-17 06:47:45.845","active","14.680","26"
"219","D57","13.6","14.1","0.5","0.495","0.45","D570045__26.813945863321198","2024-12-17 05:20:56.148","2024-12-17 06:48:25.237","active","14.220","26"
"220","D57","12.84","13.52","0.68","0.675","0.61","D570061__517.4210399061578","2024-12-17 05:23:24.052","2024-12-17 06:30:04.645","active","14.560","26"
"221","D57","13.67","14.25","0.58","0.575","0.52","D570052__115.37695927878322","2024-12-17 05:23:53.860","2024-12-17 06:30:58.470","active","14.250","26"
